idx,root_ar,root_translit,core_meaning,batch1,batch2,batch3
30,ط و ل,ṭ-w-l,being long,"[{""word"": ""طويل"", ""voweled"": ""طَوِيل"", ""en"": ""long; tall""}, {""word"": ""طول"", ""voweled"": ""طُول"", ""en"": ""length""}, {""word"": ""أطول"", ""voweled"": ""أَطْوَل"", ""en"": ""longer; longest""}, {""word"": ""تطويل"", ""voweled"": ""تَطْوِيل"", ""en"": ""lengthening""}, {""word"": ""طوال"", ""voweled"": ""طَوَال"", ""en"": ""throughout""}]","[{""word"": ""مستطيل"", ""voweled"": ""مُسْتَطِيل"", ""en"": ""rectangle""}]",[]
31,ح س ن,ḥ-s-n,"being good, beautiful","[{""word"": ""حسن"", ""voweled"": ""حَسَن"", ""en"": ""good"", ""accept"": [""حَسَن"", ""حُسْن""]}, {""word"": ""أحسن"", ""voweled"": ""أَحْسَن"", ""en"": ""better; best""}, {""word"": ""إحسان"", ""voweled"": ""إِحْسَان"", ""en"": ""charity; excellence""}, {""word"": ""تحسين"", ""voweled"": ""تَحْسِين"", ""en"": ""improvement""}, {""word"": ""حسنة"", ""voweled"": ""حَسَنَة"", ""en"": ""good deed""}]","[{""word"": ""حسن"", ""voweled"": ""حُسْن"", ""en"": ""goodness; beauty"", ""accept"": [""حَسَن"", ""حُسْن""]}, {""word"": ""تحسن"", ""voweled"": ""تَحَسُّن"", ""en"": ""improvement (getting better)""}, {""word"": ""محسن"", ""voweled"": ""مُحْسِن"", ""en"": ""benefactor""}]",[]
32,ج م ل,j-m-l,"beauty, totality","[{""word"": ""جميل"", ""voweled"": ""جَمِيل"", ""en"": ""beautiful""}, {""word"": ""جمال"", ""voweled"": ""جَمَال"", ""en"": ""beauty"", ""accept"": [""جَمَال"", ""جِمَال""]}, {""word"": ""جملة"", ""voweled"": ""جُمْلَة"", ""en"": ""sentence; total""}, {""word"": ""إجمالي"", ""voweled"": ""إِجْمَالِيّ"", ""en"": ""total; gross""}, {""word"": ""مجاملة"", ""voweled"": ""مُجَامَلَة"", ""en"": ""courtesy; compliment""}]","[{""word"": ""جمل"", ""voweled"": ""جَمَل"", ""en"": ""camel"", ""plural"": {""word"": ""جمال"", ""voweled"": ""جِمَال""}}, {""word"": ""تجميل"", ""voweled"": ""تَجْمِيل"", ""en"": ""beautification; cosmetics""}, {""word"": ""مجمل"", ""voweled"": ""مُجْمَل"", ""en"": ""overall; sum""}]",[]
33,و ل د,w-l-d,giving birth,"[{""word"": ""ولد"", ""voweled"": ""وَلَد"", ""en"": ""boy; child"", ""plural"": {""word"": ""أولاد"", ""voweled"": ""أَوْلَاد""}}, {""word"": ""والد"", ""voweled"": ""وَالِد"", ""en"": ""father""}, {""word"": ""والدة"", ""voweled"": ""وَالِدَة"", ""en"": ""mother""}, {""word"": ""ميلاد"", ""voweled"": ""مِيلَاد"", ""en"": ""birth""}, {""word"": ""مولود"", ""voweled"": ""مَوْلُود"", ""en"": ""newborn""}]","[{""word"": ""توليد"", ""voweled"": ""تَوْلِيد"", ""en"": ""generation (of power etc.)""}, {""word"": ""ولادة"", ""voweled"": ""وِلَادَة"", ""en"": ""childbirth""}, {""word"": ""مولد"", ""voweled"": ""مُوَلِّد"", ""en"": ""generator""}]",[]
34,ر ج ل,r-j-l,"man, foot","[{""word"": ""رجل"", ""voweled"": ""رَجُل"", ""en"": ""man"", ""plural"": {""word"": ""رجال"", ""voweled"": ""رِجَال""}, ""accept"": [""رَجُل"", ""رِجْل""]}, {""word"": ""رجل"", ""voweled"": ""رِجْل"", ""en"": ""leg; foot"", ""accept"": [""رَجُل"", ""رِجْل""]}, {""word"": ""رجولة"", ""voweled"": ""رُجُولَة"", ""en"": ""manhood""}, {""word"": ""ارتجال"", ""voweled"": ""اِرْتِجَال"", ""en"": ""improvisation""}, {""word"": ""رجالي"", ""voweled"": ""رِجَالِيّ"", ""en"": ""men's (clothing etc.)""}]",[],[]
35,ب ي ت,b-y-t,"house, dwelling","[{""word"": ""بيت"", ""voweled"": ""بَيْت"", ""en"": ""house"", ""plural"": {""word"": ""بيوت"", ""voweled"": ""بُيُوت""}}, {""word"": ""بات"", ""voweled"": ""بَاتَ"", ""en"": ""to spend the night""}, {""word"": ""مبيت"", ""voweled"": ""مَبِيت"", ""en"": ""overnight stay""}, {""word"": ""بيتي"", ""voweled"": ""بَيْتِيّ"", ""en"": ""homemade""}]",[],[]
36,م د ن,m-d-n,"city, civilization","[{""word"": ""مدينة"", ""voweled"": ""مَدِينَة"", ""en"": ""city"", ""plural"": {""word"": ""مدن"", ""voweled"": ""مُدُن""}}, {""word"": ""مدني"", ""voweled"": ""مَدَنِيّ"", ""en"": ""civil; civilian""}, {""word"": ""تمدن"", ""voweled"": ""تَمَدُّن"", ""en"": ""urbanization""}, {""word"": ""مدنية"", ""voweled"": ""مَدَنِيَّة"", ""en"": ""civility; civilization""}]",[],[]
37,ب ل د,b-l-d,"country, town","[{""word"": ""بلد"", ""voweled"": ""بَلَد"", ""en"": ""country"", ""plural"": {""word"": ""بلاد"", ""voweled"": ""بِلَاد""}}, {""word"": ""بلدة"", ""voweled"": ""بَلْدَة"", ""en"": ""town"", ""plural"": {""word"": ""بلدات"", ""voweled"": ""بَلْدَات""}}, {""word"": ""بلدية"", ""voweled"": ""بَلَدِيَّة"", ""en"": ""municipality""}, {""word"": ""بلدي"", ""voweled"": ""بَلَدِيّ"", ""en"": ""local""}]",[],[]
38,ح ك م,ḥ-k-m,"ruling, judging","[{""word"": ""حكم"", ""voweled"": ""حَكَمَ"", ""en"": ""to rule; to judge"", ""accept"": [""حَكَم"", ""حَكَمَ"", ""حُكْم""]}, {""word"": ""حكم"", ""voweled"": ""حُكْم"", ""en"": ""ruling; verdict"", ""accept"": [""حَكَم"", ""حَكَمَ"", ""حُكْم""]}, {""word"": ""حكومة"", ""voweled"": ""حُكُومَة"", ""en"": ""government"", ""plural"": {""word"": ""حكومات"", ""voweled"": ""حُكُومَات""}}, {""word"": ""محكمة"", ""voweled"": ""مَحْكَمَة"", ""en"": ""court"", ""plural"": {""word"": ""محاكم"", ""voweled"": ""مَحَاكِم""}}, {""word"": ""حاكم"", ""voweled"": ""حَاكِم"", ""en"": ""ruler; governor"", ""plural"": {""word"": ""حكام"", ""voweled"": ""حُكَّام""}}]","[{""word"": ""حكمة"", ""voweled"": ""حِكْمَة"", ""en"": ""wisdom""}, {""word"": ""حكيم"", ""voweled"": ""حَكِيم"", ""en"": ""wise"", ""plural"": {""word"": ""حكماء"", ""voweled"": ""حُكَمَاء""}}, {""word"": ""تحكيم"", ""voweled"": ""تَحْكِيم"", ""en"": ""arbitration""}, {""word"": ""حكم"", ""voweled"": ""حَكَم"", ""en"": ""referee"", ""accept"": [""حَكَم"", ""حَكَمَ"", ""حُكْم""]}, {""word"": ""محكوم"", ""voweled"": ""مَحْكُوم"", ""en"": ""convicted; sentenced""}]",[]
39,م ل ك,m-l-k,"owning, ruling","[{""word"": ""ملك"", ""voweled"": ""مَلِك"", ""en"": ""king"", ""plural"": {""word"": ""ملوك"", ""voweled"": ""مُلُوك""}, ""accept"": [""مَلِك"", ""مِلْك""]}, {""word"": ""ملكة"", ""voweled"": ""مَلِكَة"", ""en"": ""queen"", ""plural"": {""word"": ""ملكات"", ""voweled"": ""مَلِكَات""}}, {""word"": ""ملك"", ""voweled"": ""مِلْك"", ""en"": ""property"", ""accept"": [""مَلِك"", ""مِلْك""]}, {""word"": ""مملكة"", ""voweled"": ""مَمْلَكَة"", ""en"": ""kingdom"", ""plural"": {""word"": ""ممالك"", ""voweled"": ""مَمَالِك""}}, {""word"": ""مالك"", ""voweled"": ""مَالِك"", ""en"": ""owner""}]","[{""word"": ""ملكية"", ""voweled"": ""مِلْكِيَّة"", ""en"": ""ownership""}, {""word"": ""ملاك"", ""voweled"": ""مَلَاك"", ""en"": ""angel"", ""plural"": {""word"": ""ملائكة"", ""voweled"": ""مَلَائِكَة""}}, {""word"": ""ملكي"", ""voweled"": ""مَلَكِيّ"", ""en"": ""royal""}, {""word"": ""امتلاك"", ""voweled"": ""اِمْتِلَاك"", ""en"": ""possession; owning""}]",[]
40,د و ل,d-w-l,"state, rotation","[{""word"": ""دولة"", ""voweled"": ""دَوْلَة"", ""en"": ""state; country"", ""plural"": {""word"": ""دول"", ""voweled"": ""دُوَل""}}, {""word"": ""دولي"", ""voweled"": ""دَوْلِيّ"", ""en"": ""international""}, {""word"": ""تداول"", ""voweled"": ""تَدَاوُل"", ""en"": ""circulation; trading""}, {""word"": ""مداولة"", ""voweled"": ""مُدَاوَلَة"", ""en"": ""deliberation""}]",[],[]
41,ش ع ب,sh-ʿ-b,"people, branching","[{""word"": ""شعب"", ""voweled"": ""شَعْب"", ""en"": ""people; nation"", ""plural"": {""word"": ""شعوب"", ""voweled"": ""شُعُوب""}}, {""word"": ""شعبي"", ""voweled"": ""شَعْبِيّ"", ""en"": ""popular; folk""}, {""word"": ""شعبية"", ""voweled"": ""شَعْبِيَّة"", ""en"": ""popularity""}, {""word"": ""شعبة"", ""voweled"": ""شُعْبَة"", ""en"": ""branch; division""}, {""word"": ""تشعب"", ""voweled"": ""تَشَعُّب"", ""en"": ""ramification; branching""}]",[],[]
42,ح ر ب,ḥ-r-b,war,"[{""word"": ""حرب"", ""voweled"": ""حَرْب"", ""en"": ""war"", ""plural"": {""word"": ""حروب"", ""voweled"": ""حُرُوب""}}, {""word"": ""محارب"", ""voweled"": ""مُحَارِب"", ""en"": ""warrior; combatant"", ""plural"": {""word"": ""محاربون"", ""voweled"": ""مُحَارِبُون""}}, {""word"": ""حربي"", ""voweled"": ""حَرْبِيّ"", ""en"": ""military; martial""}, {""word"": ""محراب"", ""voweled"": ""مِحْرَاب"", ""en"": ""prayer niche""}, {""word"": ""حربة"", ""voweled"": ""حَرْبَة"", ""en"": ""spear; bayonet""}]",[],[]
43,س ل م,s-l-m,"peace, safety","[{""word"": ""سلام"", ""voweled"": ""سَلَام"", ""en"": ""peace""}, {""word"": ""سلامة"", ""voweled"": ""سَلَامَة"", ""en"": ""safety""}, {""word"": ""إسلام"", ""voweled"": ""إِسْلَام"", ""en"": ""Islam""}, {""word"": ""مسلم"", ""voweled"": ""مُسْلِم"", ""en"": ""Muslim"", ""plural"": {""word"": ""مسلمون"", ""voweled"": ""مُسْلِمُون""}}, {""word"": ""تسليم"", ""voweled"": ""تَسْلِيم"", ""en"": ""delivery; surrender""}]","[{""word"": ""استسلام"", ""voweled"": ""اِسْتِسْلَام"", ""en"": ""surrender""}, {""word"": ""سليم"", ""voweled"": ""سَلِيم"", ""en"": ""sound; intact""}, {""word"": ""سلم"", ""voweled"": ""سُلَّم"", ""en"": ""ladder; scale"", ""plural"": {""word"": ""سلالم"", ""voweled"": ""سَلَالِم""}, ""accept"": [""سُلَّم"", ""سِلْم""]}, {""word"": ""سلم"", ""voweled"": ""سِلْم"", ""en"": ""peace(time)"", ""accept"": [""سُلَّم"", ""سِلْم""]}, {""word"": ""مسالم"", ""voweled"": ""مُسَالِم"", ""en"": ""peaceable""}]",[]
44,د ي ن,d-y-n,"religion, debt","[{""word"": ""دين"", ""voweled"": ""دِين"", ""en"": ""religion"", ""accept"": [""دَيْن"", ""دِين""]}, {""word"": ""دين"", ""voweled"": ""دَيْن"", ""en"": ""debt"", ""accept"": [""دَيْن"", ""دِين""]}, {""word"": ""ديني"", ""voweled"": ""دِينِيّ"", ""en"": ""religious""}, {""word"": ""متدين"", ""voweled"": ""مُتَدَيِّن"", ""en"": ""devout""}, {""word"": ""مدين"", ""voweled"": ""مَدِين"", ""en"": ""indebted""}]","[{""word"": ""تدين"", ""voweled"": ""تَدَيُّن"", ""en"": ""religiosity""}]",[]
45,أ م ن,ʾ-m-n,"safety, belief","[{""word"": ""أمن"", ""voweled"": ""أَمْن"", ""en"": ""security""}, {""word"": ""أمان"", ""voweled"": ""أَمَان"", ""en"": ""safety""}, {""word"": ""إيمان"", ""voweled"": ""إِيمَان"", ""en"": ""faith""}, {""word"": ""مؤمن"", ""voweled"": ""مُؤْمِن"", ""en"": ""believer"", ""plural"": {""word"": ""مؤمنون"", ""voweled"": ""مُؤْمِنُون""}}, {""word"": ""تأمين"", ""voweled"": ""تَأْمِين"", ""en"": ""insurance""}]","[{""word"": ""أمين"", ""voweled"": ""أَمِين"", ""en"": ""trustworthy; secretary""}, {""word"": ""أمانة"", ""voweled"": ""أَمَانَة"", ""en"": ""honesty; deposit"", ""plural"": {""word"": ""أمانات"", ""voweled"": ""أَمَانَات""}}, {""word"": ""ائتمان"", ""voweled"": ""اِئْتِمَان"", ""en"": ""credit""}]",[]
46,ن ف س,n-f-s,"soul, self, breath","[{""word"": ""نفس"", ""voweled"": ""نَفْس"", ""en"": ""self; soul"", ""accept"": [""نَفَس"", ""نَفْس""]}, {""word"": ""تنفس"", ""voweled"": ""تَنَفُّس"", ""en"": ""breathing""}, {""word"": ""نفسي"", ""voweled"": ""نَفْسِيّ"", ""en"": ""psychological""}, {""word"": ""منافسة"", ""voweled"": ""مُنَافَسَة"", ""en"": ""competition""}, {""word"": ""نفيس"", ""voweled"": ""نَفِيس"", ""en"": ""precious""}]","[{""word"": ""نفس"", ""voweled"": ""نَفَس"", ""en"": ""breath"", ""plural"": {""word"": ""أنفاس"", ""voweled"": ""أَنْفَاس""}, ""accept"": [""نَفَس"", ""نَفْس""]}, {""word"": ""منافس"", ""voweled"": ""مُنَافِس"", ""en"": ""competitor"", ""plural"": {""word"": ""منافسون"", ""voweled"": ""مُنَافِسُون""}}, {""word"": ""تنافس"", ""voweled"": ""تَنَافُس"", ""en"": ""rivalry""}]",[]
47,ق ل ب,q-l-b,"heart, turning","[{""word"": ""قلب"", ""voweled"": ""قَلْب"", ""en"": ""heart"", ""plural"": {""word"": ""قلوب"", ""voweled"": ""قُلُوب""}}, {""word"": ""انقلاب"", ""voweled"": ""اِنْقِلَاب"", ""en"": ""coup; overturn""}, {""word"": ""تقلب"", ""voweled"": ""تَقَلُّب"", ""en"": ""fluctuation""}, {""word"": ""قالب"", ""voweled"": ""قَالَب"", ""en"": ""mold; template""}, {""word"": ""مقلوب"", ""voweled"": ""مَقْلُوب"", ""en"": ""upside-down; inverted""}]","[{""word"": ""قلبي"", ""voweled"": ""قَلْبِيّ"", ""en"": ""cardiac; heartfelt""}]",[]
48,ر أ س,r-ʾ-s,head,"[{""word"": ""رأس"", ""voweled"": ""رَأْس"", ""en"": ""head"", ""plural"": {""word"": ""رؤوس"", ""voweled"": ""رُؤُوس""}}, {""word"": ""رئيس"", ""voweled"": ""رَئِيس"", ""en"": ""president; chief"", ""plural"": {""word"": ""رؤساء"", ""voweled"": ""رُؤَسَاء""}}, {""word"": ""رئيسي"", ""voweled"": ""رَئِيسِيّ"", ""en"": ""main""}, {""word"": ""رئاسة"", ""voweled"": ""رِئَاسَة"", ""en"": ""presidency""}, {""word"": ""رأسمال"", ""voweled"": ""رَأْسمَال"", ""en"": ""capital (money)""}]","[{""word"": ""رأسي"", ""voweled"": ""رَأْسِيّ"", ""en"": ""vertical""}]",[]
49,ي د ي,y-d-y,hand,"[{""word"": ""يد"", ""voweled"": ""يَد"", ""en"": ""hand"", ""plural"": {""word"": ""أيدي"", ""voweled"": ""أَيْدِي""}}, {""word"": ""يدوي"", ""voweled"": ""يَدَوِيّ"", ""en"": ""manual; handmade""}]",[],[]
50,و ج ه,w-j-h,"face, direction","[{""word"": ""وجه"", ""voweled"": ""وَجْه"", ""en"": ""face"", ""plural"": {""word"": ""وجوه"", ""voweled"": ""وُجُوه""}}, {""word"": ""اتجاه"", ""voweled"": ""اِتِّجَاه"", ""en"": ""direction""}, {""word"": ""مواجهة"", ""voweled"": ""مُوَاجَهَة"", ""en"": ""confrontation""}, {""word"": ""توجيه"", ""voweled"": ""تَوْجِيه"", ""en"": ""guidance""}, {""word"": ""وجهة"", ""voweled"": ""وِجْهَة"", ""en"": ""destination; viewpoint"", ""plural"": {""word"": ""وجهات"", ""voweled"": ""وِجْهَات""}}]","[{""word"": ""واجهة"", ""voweled"": ""وَاجِهَة"", ""en"": ""facade; interface"", ""plural"": {""word"": ""واجهات"", ""voweled"": ""وَاجِهَات""}}, {""word"": ""وجيه"", ""voweled"": ""وَجِيه"", ""en"": ""notable; plausible""}, {""word"": ""توجه"", ""voweled"": ""تَوَجُّه"", ""en"": ""orientation; trend"", ""plural"": {""word"": ""توجهات"", ""voweled"": ""تَوَجُّهَات""}}]",[]
51,ع ي ن,ʿ-y-n,"eye, spring, appointing","[{""word"": ""عين"", ""voweled"": ""عَيْن"", ""en"": ""eye; spring"", ""plural"": {""word"": ""عيون"", ""voweled"": ""عُيُون""}}, {""word"": ""تعيين"", ""voweled"": ""تَعْيِين"", ""en"": ""appointment""}, {""word"": ""معين"", ""voweled"": ""مُعَيَّن"", ""en"": ""specific; designated""}, {""word"": ""عينة"", ""voweled"": ""عَيِّنَة"", ""en"": ""sample"", ""plural"": {""word"": ""عينات"", ""voweled"": ""عَيِّنَات""}}, {""word"": ""عيان"", ""voweled"": ""عِيَان"", ""en"": ""eyewitnessing""}]","[{""word"": ""معاينة"", ""voweled"": ""مُعَايَنَة"", ""en"": ""inspection; viewing""}]",[]
52,ن و ر,n-w-r,light,"[{""word"": ""نور"", ""voweled"": ""نُور"", ""en"": ""light"", ""plural"": {""word"": ""أنوار"", ""voweled"": ""أَنْوَار""}}, {""word"": ""منارة"", ""voweled"": ""مَنَارَة"", ""en"": ""lighthouse; minaret""}, {""word"": ""إنارة"", ""voweled"": ""إِنَارَة"", ""en"": ""lighting""}, {""word"": ""منور"", ""voweled"": ""مُنَوَّر"", ""en"": ""illuminated""}, {""word"": ""تنوير"", ""voweled"": ""تَنْوِير"", ""en"": ""enlightenment""}]",[],[]
53,ح ي ي,ḥ-y-y,"life, living","[{""word"": ""حياة"", ""voweled"": ""حَيَاة"", ""en"": ""life""}, {""word"": ""حي"", ""voweled"": ""حَيّ"", ""en"": ""alive; neighborhood""}, {""word"": ""حيوان"", ""voweled"": ""حَيَوَان"", ""en"": ""animal"", ""plural"": {""word"": ""حيوانات"", ""voweled"": ""حَيَوَانَات""}}, {""word"": ""تحية"", ""voweled"": ""تَحِيَّة"", ""en"": ""greeting"", ""plural"": {""word"": ""تحيات"", ""voweled"": ""تَحِيَّات""}}, {""word"": ""إحياء"", ""voweled"": ""إِحْيَاء"", ""en"": ""revival""}]","[{""word"": ""حيوي"", ""voweled"": ""حَيَوِيّ"", ""en"": ""vital""}, {""word"": ""حياء"", ""voweled"": ""حَيَاء"", ""en"": ""modesty; shyness""}, {""word"": ""حيوية"", ""voweled"": ""حَيَوِيَّة"", ""en"": ""vitality""}]",[]
54,م و ت,m-w-t,death,"[{""word"": ""موت"", ""voweled"": ""مَوْت"", ""en"": ""death""}, {""word"": ""مات"", ""voweled"": ""مَاتَ"", ""en"": ""to die""}, {""word"": ""ميت"", ""voweled"": ""مَيِّت"", ""en"": ""dead"", ""plural"": {""word"": ""أموات"", ""voweled"": ""أَمْوَات""}}, {""word"": ""مميت"", ""voweled"": ""مُمِيت"", ""en"": ""deadly""}]",[],[]
55,و ق ت,w-q-t,time,"[{""word"": ""وقت"", ""voweled"": ""وَقْت"", ""en"": ""time"", ""plural"": {""word"": ""أوقات"", ""voweled"": ""أَوْقَات""}}, {""word"": ""مؤقت"", ""voweled"": ""مُؤَقَّت"", ""en"": ""temporary""}, {""word"": ""توقيت"", ""voweled"": ""تَوْقِيت"", ""en"": ""timing""}, {""word"": ""ميقات"", ""voweled"": ""مِيقَات"", ""en"": ""appointed time""}]",[],[]
56,ي و م,y-w-m,day,"[{""word"": ""يوم"", ""voweled"": ""يَوْم"", ""en"": ""day"", ""plural"": {""word"": ""أيام"", ""voweled"": ""أَيَّام""}}, {""word"": ""يومي"", ""voweled"": ""يَوْمِيّ"", ""en"": ""daily""}, {""word"": ""يوميا"", ""voweled"": ""يَوْمِيًّا"", ""en"": ""daily (adv.)""}, {""word"": ""يوميات"", ""voweled"": ""يَوْمِيَّات"", ""en"": ""diary""}]",[],[]
57,س ن و,s-n-w,year,"[{""word"": ""سنة"", ""voweled"": ""سَنَة"", ""en"": ""year"", ""plural"": {""word"": ""سنوات"", ""voweled"": ""سَنَوَات""}}, {""word"": ""سنوي"", ""voweled"": ""سَنَوِيّ"", ""en"": ""annual""}, {""word"": ""سنويا"", ""voweled"": ""سَنَوِيًّا"", ""en"": ""annually""}]",[],[]
58,ش ه ر,sh-h-r,"month, fame","[{""word"": ""شهر"", ""voweled"": ""شَهْر"", ""en"": ""month"", ""plural"": {""word"": ""شهور"", ""voweled"": ""شُهُور""}}, {""word"": ""شهير"", ""voweled"": ""شَهِير"", ""en"": ""famous""}, {""word"": ""مشهور"", ""voweled"": ""مَشْهُور"", ""en"": ""famous""}, {""word"": ""شهرة"", ""voweled"": ""شُهْرَة"", ""en"": ""fame""}, {""word"": ""إشهار"", ""voweled"": ""إِشْهَار"", ""en"": ""announcement; publicity""}]","[{""word"": ""شهري"", ""voweled"": ""شَهْرِيّ"", ""en"": ""monthly""}]",[]
59,ط ر ق,ṭ-r-q,"road, knocking, method","[{""word"": ""طريق"", ""voweled"": ""طَرِيق"", ""en"": ""road"", ""plural"": {""word"": ""طرق"", ""voweled"": ""طُرُق""}}, {""word"": ""طريقة"", ""voweled"": ""طَرِيقَة"", ""en"": ""method; way"", ""plural"": {""word"": ""طرائق"", ""voweled"": ""طَرَائِق""}}, {""word"": ""طرق"", ""voweled"": ""طَرَقَ"", ""en"": ""to knock"", ""accept"": [""طَرَقَ"", ""طُرُق""]}, {""word"": ""مطرقة"", ""voweled"": ""مِطْرَقَة"", ""en"": ""hammer"", ""plural"": {""word"": ""مطارق"", ""voweled"": ""مَطَارِق""}}]",[],[]
60,س ي ر,s-y-r,"walking, proceeding","[{""word"": ""سار"", ""voweled"": ""سَارَ"", ""en"": ""to walk; to proceed""}, {""word"": ""سير"", ""voweled"": ""سَيْر"", ""en"": ""course; traffic"", ""accept"": [""سَيْر"", ""سِيَر""]}, {""word"": ""سيارة"", ""voweled"": ""سَيَّارَة"", ""en"": ""car"", ""plural"": {""word"": ""سيارات"", ""voweled"": ""سَيَّارَات""}}, {""word"": ""مسيرة"", ""voweled"": ""مَسِيرَة"", ""en"": ""march; career"", ""plural"": {""word"": ""مسيرات"", ""voweled"": ""مَسِيرَات""}}, {""word"": ""سيرة"", ""voweled"": ""سِيرَة"", ""en"": ""biography"", ""plural"": {""word"": ""سير"", ""voweled"": ""سِيَر""}}]","[{""word"": ""مسار"", ""voweled"": ""مَسَار"", ""en"": ""path; track"", ""plural"": {""word"": ""مسارات"", ""voweled"": ""مَسَارَات""}}, {""word"": ""تسيير"", ""voweled"": ""تَسْيِير"", ""en"": ""running; management""}]",[]
61,ر ك ب,r-k-b,"riding, mounting","[{""word"": ""ركب"", ""voweled"": ""رَكِبَ"", ""en"": ""to ride"", ""accept"": [""رَكِبَ"", ""رُكَب""]}, {""word"": ""راكب"", ""voweled"": ""رَاكِب"", ""en"": ""passenger"", ""plural"": {""word"": ""ركاب"", ""voweled"": ""رُكَّاب""}}, {""word"": ""مركبة"", ""voweled"": ""مَرْكَبَة"", ""en"": ""vehicle"", ""plural"": {""word"": ""مركبات"", ""voweled"": ""مَرْكَبَات""}}, {""word"": ""تركيب"", ""voweled"": ""تَرْكِيب"", ""en"": ""installation; structure""}, {""word"": ""مركب"", ""voweled"": ""مُرَكَّب"", ""en"": ""compound"", ""accept"": [""مَرْكَب"", ""مُرَكَّب""]}]","[{""word"": ""مركب"", ""voweled"": ""مَرْكَب"", ""en"": ""boat"", ""plural"": {""word"": ""مراكب"", ""voweled"": ""مَرَاكِب""}, ""accept"": [""مَرْكَب"", ""مُرَكَّب""]}, {""word"": ""ركبة"", ""voweled"": ""رُكْبَة"", ""en"": ""knee"", ""plural"": {""word"": ""ركب"", ""voweled"": ""رُكَب""}}, {""word"": ""تركيبة"", ""voweled"": ""تَرْكِيبَة"", ""en"": ""composition; formula""}]",[]
62,ح م ل,ḥ-m-l,carrying,"[{""word"": ""حمل"", ""voweled"": ""حَمَلَ"", ""en"": ""to carry"", ""accept"": [""حَمَلَ"", ""حَمْل"", ""حِمْل""]}, {""word"": ""حمل"", ""voweled"": ""حَمْل"", ""en"": ""carrying; pregnancy"", ""accept"": [""حَمَلَ"", ""حَمْل"", ""حِمْل""]}, {""word"": ""حملة"", ""voweled"": ""حَمْلَة"", ""en"": ""campaign"", ""plural"": {""word"": ""حملات"", ""voweled"": ""حَمَلَات""}}, {""word"": ""حامل"", ""voweled"": ""حَامِل"", ""en"": ""carrier; pregnant""}, {""word"": ""تحميل"", ""voweled"": ""تَحْمِيل"", ""en"": ""loading; downloading""}]","[{""word"": ""محمول"", ""voweled"": ""مَحْمُول"", ""en"": ""mobile; carried""}, {""word"": ""حمل"", ""voweled"": ""حِمْل"", ""en"": ""load; burden"", ""plural"": {""word"": ""أحمال"", ""voweled"": ""أَحْمَال""}, ""accept"": [""حَمَلَ"", ""حَمْل"", ""حِمْل""]}, {""word"": ""احتمال"", ""voweled"": ""اِحْتِمَال"", ""en"": ""probability; possibility"", ""plural"": {""word"": ""احتمالات"", ""voweled"": ""اِحْتِمَالَات""}}, {""word"": ""محتمل"", ""voweled"": ""مُحْتَمَل"", ""en"": ""probable; likely""}]",[]
63,ف ت ح,f-t-ḥ,opening,"[{""word"": ""فتح"", ""voweled"": ""فَتَحَ"", ""en"": ""to open"", ""accept"": [""فَتَحَ"", ""فَتْح""]}, {""word"": ""فتح"", ""voweled"": ""فَتْح"", ""en"": ""opening; conquest"", ""accept"": [""فَتَحَ"", ""فَتْح""]}, {""word"": ""مفتاح"", ""voweled"": ""مِفْتَاح"", ""en"": ""key"", ""plural"": {""word"": ""مفاتيح"", ""voweled"": ""مَفَاتِيح""}}, {""word"": ""مفتوح"", ""voweled"": ""مَفْتُوح"", ""en"": ""open""}, {""word"": ""افتتاح"", ""voweled"": ""اِفْتِتَاح"", ""en"": ""inauguration""}]","[{""word"": ""فاتح"", ""voweled"": ""فَاتِح"", ""en"": ""light (color); opener""}, {""word"": ""فتحة"", ""voweled"": ""فَتْحَة"", ""en"": ""opening; slot"", ""plural"": {""word"": ""فتحات"", ""voweled"": ""فَتَحَات""}}, {""word"": ""انفتاح"", ""voweled"": ""اِنْفِتَاح"", ""en"": ""openness""}, {""word"": ""فاتحة"", ""voweled"": ""فَاتِحَة"", ""en"": ""opening (of a text); al-Fatiha""}]",[]
64,غ ل ق,gh-l-q,closing,"[{""word"": ""أغلق"", ""voweled"": ""أَغْلَقَ"", ""en"": ""to close""}, {""word"": ""مغلق"", ""voweled"": ""مُغْلَق"", ""en"": ""closed""}, {""word"": ""إغلاق"", ""voweled"": ""إِغْلَاق"", ""en"": ""closure""}, {""word"": ""غلق"", ""voweled"": ""غَلْق"", ""en"": ""locking""}, {""word"": ""انغلاق"", ""voweled"": ""اِنْغِلَاق"", ""en"": ""closedness; insularity""}]",[],[]
