idx,char,examples,distractors,batch,category,meanings,radical,components,complexity,retired
64,書,"[{""idx"": 277}, {""idx"": 278}, {""idx"": 279}]","[{""word"": ""書肉"", ""reading"": ""しょにく"", ""meaning"": ""(non-word)""}, {""word"": ""書茶"", ""reading"": ""しょちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""書油"", ""reading"": ""しょゆ"", ""meaning"": ""(non-word)""}]",1,Learning,write,曰,日 聿,10,false
65,聞,"[{""idx"": 280}, {""idx"": 281}, {""idx"": 282}]","[{""word"": ""聞肉"", ""reading"": ""ぶんにく"", ""meaning"": ""(non-word)""}, {""word"": ""聞茶"", ""reading"": ""ぶんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""聞水"", ""reading"": ""ぶんすい"", ""meaning"": ""(non-word)""}]",1,Learning,hear; ask; listen,耳,耳 門,14,false
66,話,"[{""idx"": 283}, {""idx"": 284}, {""idx"": 285}, {""idx"": 286}, {""idx"": 287}]","[{""word"": ""話肉"", ""reading"": ""わにく"", ""meaning"": ""(non-word)""}, {""word"": ""話茶"", ""reading"": ""わちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""話米"", ""reading"": ""わまい"", ""meaning"": ""(non-word)""}]",1,Learning,tale; talk,言,言 口 舌,13,false
67,立,"[{""idx"": 288}, {""idx"": 289}, {""idx"": 290}, {""idx"": 149}]","[{""word"": ""立肉"", ""reading"": ""りつにく"", ""meaning"": ""(non-word)""}, {""word"": ""立茶"", ""reading"": ""りっちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""立油"", ""reading"": ""りつゆ"", ""meaning"": ""(non-word)""}]",1,Actions,stand up; rise; set up; erect,立,立,5,false
68,待,"[{""idx"": 291}, {""idx"": 292}, {""idx"": 293}]","[{""word"": ""待肉"", ""reading"": ""たいにく"", ""meaning"": ""(non-word)""}, {""word"": ""待茶"", ""reading"": ""たいちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""待水"", ""reading"": ""たいすい"", ""meaning"": ""(non-word)""}]",1,Actions,wait; depend on,彳,寸 土 彳,9,false
69,高,"[{""idx"": 294}, {""idx"": 295}, {""idx"": 296}, {""idx"": 297}]","[{""word"": ""高肉"", ""reading"": ""こうにく"", ""meaning"": ""(non-word)""}, {""word"": ""高茶"", ""reading"": ""こうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""高油"", ""reading"": ""こうゆ"", ""meaning"": ""(non-word)""}]",1,Shopping,tall; high; expensive,高,口 高 亠 冂,10,false
70,新,"[{""idx"": 298}, {""idx"": 281}, {""idx"": 299}, {""idx"": 300}]","[{""word"": ""新菜"", ""reading"": ""しんさい"", ""meaning"": ""(non-word)""}, {""word"": ""新麺"", ""reading"": ""しんめん"", ""meaning"": ""(non-word)""}, {""word"": ""新駅"", ""reading"": ""しんえき"", ""meaning"": ""(non-word)""}]",1,Descriptives,new,斤,斤 辛 丷 木 立 亠,13,false
71,本,"[{""idx"": 301}, {""idx"": 81}, {""idx"": 302}, {""idx"": 303}, {""idx"": 304}]","[{""word"": ""本肉"", ""reading"": ""ほんにく"", ""meaning"": ""(non-word)""}, {""word"": ""本茶"", ""reading"": ""ほんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""本油"", ""reading"": ""ほんゆ"", ""meaning"": ""(non-word)""}]",1,Learning,book; present; main; origin; true; real; counter for long cylindrical things,木,一 木,5,false
72,円,"[{""idx"": 305}, {""idx"": 65}, {""idx"": 71}, {""idx"": 306}]","[{""word"": ""円肉"", ""reading"": ""えんにく"", ""meaning"": ""(non-word)""}, {""word"": ""円茶"", ""reading"": ""えんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""円水"", ""reading"": ""えんすい"", ""meaning"": ""(non-word)""}]",1,Shopping,circle; yen; round,冂,冂 亠 一 ｜,4,false
73,何,"[{""idx"": 307}, {""idx"": 308}, {""idx"": 309}, {""idx"": 310}]","[{""word"": ""何肉"", ""reading"": ""なにく"", ""meaning"": ""(non-word)""}, {""word"": ""何茶"", ""reading"": ""なちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""何油"", ""reading"": ""なゆ"", ""meaning"": ""(non-word)""}]",1,Function Words,what,人,亻 口 亅 一,7,false
74,安,"[{""idx"": 311}, {""idx"": 312}, {""idx"": 313}, {""idx"": 314}]","[{""word"": ""安肉"", ""reading"": ""あんにく"", ""meaning"": ""(non-word)""}, {""word"": ""安茶"", ""reading"": ""あんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""安水"", ""reading"": ""あんすい"", ""meaning"": ""(non-word)""}]",1,Shopping,relax; cheap; low; quiet; rested; contented; peaceful,宀,女 宀,6,false
75,多,"[{""idx"": 315}, {""idx"": 316}, {""idx"": 317}]","[{""word"": ""多菜"", ""reading"": ""たさい"", ""meaning"": ""(non-word)""}, {""word"": ""多麺"", ""reading"": ""ためん"", ""meaning"": ""(non-word)""}, {""word"": ""多駅"", ""reading"": ""たえき"", ""meaning"": ""(non-word)""}]",1,Descriptives,many; frequent; much,夕,夕,6,false
76,少,"[{""idx"": 318}, {""idx"": 319}, {""idx"": 118}, {""idx"": 159}, {""idx"": 320}]","[{""word"": ""少肉"", ""reading"": ""しょうにく"", ""meaning"": ""(non-word)""}, {""word"": ""少茶"", ""reading"": ""しょうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""少水"", ""reading"": ""しょうすい"", ""meaning"": ""(non-word)""}]",1,Descriptives,few; little,小,ノ 小,4,false
77,長,"[{""idx"": 321}, {""idx"": 322}, {""idx"": 154}, {""idx"": 323}]","[{""word"": ""長肉"", ""reading"": ""ちょうにく"", ""meaning"": ""(non-word)""}, {""word"": ""長茶"", ""reading"": ""ちょうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""長油"", ""reading"": ""ちょうゆ"", ""meaning"": ""(non-word)""}]",1,Descriptives,long; leader; superior; senior,長,長,8,false
78,好,"[{""idx"": 324}, {""idx"": 197}, {""idx"": 325}, {""idx"": 326}]","[{""word"": ""好肉"", ""reading"": ""こうにく"", ""meaning"": ""(non-word)""}, {""word"": ""好茶"", ""reading"": ""こうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""好水"", ""reading"": ""こうすい"", ""meaning"": ""(non-word)""}]",1,Descriptives,fond; pleasing; like something,女,子 女,6,false
79,米,"[{""idx"": 327}, {""idx"": 328}, {""idx"": 329}, {""idx"": 330}]","[{""word"": ""米肉"", ""reading"": ""べいにく"", ""meaning"": ""(non-word)""}, {""word"": ""米茶"", ""reading"": ""まいちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""米道"", ""reading"": ""べいどう"", ""meaning"": ""(non-word)""}]",1,Dining,rice; USA; metre,米,米,6,false
80,肉,"[{""idx"": 331}, {""idx"": 332}, {""idx"": 333}, {""idx"": 334}]","[{""word"": ""肉茶"", ""reading"": ""にくちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""肉水"", ""reading"": ""にくすい"", ""meaning"": ""(non-word)""}, {""word"": ""肉道"", ""reading"": ""にくどう"", ""meaning"": ""(non-word)""}]",1,Dining,meat,肉,肉 冂 人,6,false
81,魚,"[{""idx"": 335}, {""idx"": 108}, {""idx"": 336}, {""idx"": 337}]","[{""word"": ""魚菜"", ""reading"": ""ぎょさい"", ""meaning"": ""(non-word)""}, {""word"": ""魚麺"", ""reading"": ""ぎょめん"", ""meaning"": ""(non-word)""}, {""word"": ""魚駅"", ""reading"": ""ぎょえき"", ""meaning"": ""(non-word)""}]",1,Nature,fish,魚,魚 田 灬,11,false
82,茶,"[{""idx"": 338}, {""idx"": 339}]","[{""word"": ""茶肉"", ""reading"": ""ちゃにく"", ""meaning"": ""(non-word)""}, {""word"": ""茶米"", ""reading"": ""ちゃまい"", ""meaning"": ""(non-word)""}, {""word"": ""茶電"", ""reading"": ""ちゃでん"", ""meaning"": ""(non-word)""}]",1,Dining,tea,艸,𠆢 艹 木,9,false
83,酒,"[{""idx"": 340}, {""idx"": 341}, {""idx"": 342}, {""idx"": 343}]","[{""word"": ""酒菜"", ""reading"": ""しゅさい"", ""meaning"": ""(non-word)""}, {""word"": ""酒麺"", ""reading"": ""しゅめん"", ""meaning"": ""(non-word)""}, {""word"": ""酒駅"", ""reading"": ""しゅえき"", ""meaning"": ""(non-word)""}]",1,Dining,sake; alcohol,酉,氵 酉,10,false
84,卵,"[{""idx"": 344}, {""idx"": 345}, {""idx"": 346}, {""idx"": 347}]","[{""word"": ""卵肉"", ""reading"": ""らんにく"", ""meaning"": ""(non-word)""}, {""word"": ""卵茶"", ""reading"": ""らんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""卵水"", ""reading"": ""らんすい"", ""meaning"": ""(non-word)""}]",1,Dining,egg; ovum; spawn; roe,卩,ノ 卜 丶 卩,7,false
85,野,"[{""idx"": 348}, {""idx"": 349}, {""idx"": 350}]","[{""word"": ""野肉"", ""reading"": ""やにく"", ""meaning"": ""(non-word)""}, {""word"": ""野茶"", ""reading"": ""やちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""野水"", ""reading"": ""やすい"", ""meaning"": ""(non-word)""}]",1,Dining,plains; field; rustic; civilian life,里,矛 里 亅,11,false
86,菜,"[{""idx"": 348}, {""idx"": 351}]","[{""word"": ""菜肉"", ""reading"": ""さいにく"", ""meaning"": ""(non-word)""}, {""word"": ""菜茶"", ""reading"": ""さいちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""菜電"", ""reading"": ""さいでん"", ""meaning"": ""(non-word)""}]",1,Dining,vegetable; side dish; greens,艸,爪 木 艹,11,false
87,果,"[{""idx"": 352}, {""idx"": 353}, {""idx"": 354}, {""idx"": 355}]","[{""word"": ""果菜"", ""reading"": ""かさい"", ""meaning"": ""(non-word)""}, {""word"": ""果麺"", ""reading"": ""かめん"", ""meaning"": ""(non-word)""}, {""word"": ""果駅"", ""reading"": ""かえき"", ""meaning"": ""(non-word)""}]",1,Dining,fruit; reward; carry out; achieve; complete; end; finish; succeed,木,｜ 田 木,8,false
88,物,"[{""idx"": 356}, {""idx"": 357}, {""idx"": 272}, {""idx"": 358}, {""idx"": 917}]","[{""word"": ""物肉"", ""reading"": ""ぶつにく"", ""meaning"": ""(non-word)""}, {""word"": ""物茶"", ""reading"": ""ぶっちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""物水"", ""reading"": ""ぶっすい"", ""meaning"": ""(non-word)""}]",1,Function Words,thing; object; matter,牛,勿 牛 勹 ノ,8,false
89,飯,"[{""idx"": 359}, {""idx"": 360}, {""idx"": 361}, {""idx"": 362}, {""idx"": 363}]","[{""word"": ""飯肉"", ""reading"": ""はんにく"", ""meaning"": ""(non-word)""}, {""word"": ""飯茶"", ""reading"": ""はんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""飯油"", ""reading"": ""はんゆ"", ""meaning"": ""(non-word)""}]",1,Dining,meal; boiled rice,食,食 又 厂,12,false
90,麺,"[{""idx"": 364}, {""idx"": 365}]","[{""word"": ""麺肉"", ""reading"": ""めんにく"", ""meaning"": ""(non-word)""}, {""word"": ""麺茶"", ""reading"": ""めんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""麺水"", ""reading"": ""めんすい"", ""meaning"": ""(non-word)""}]",1,Dining,noodles; wheat flour,麥,麦 面 夂 土 亠 二,16,false
91,油,"[{""idx"": 366}, {""idx"": 367}]","[{""word"": ""油肉"", ""reading"": ""ゆにく"", ""meaning"": ""(non-word)""}, {""word"": ""油茶"", ""reading"": ""ゆちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""油道"", ""reading"": ""ゆどう"", ""meaning"": ""(non-word)""}]",1,Dining,oil; fat,水,｜ 氵 日 田,8,false
92,塩,"[{""idx"": 368}, {""idx"": 369}, {""idx"": 370}, {""idx"": 371}]","[{""word"": ""塩肉"", ""reading"": ""えんにく"", ""meaning"": ""(non-word)""}, {""word"": ""塩茶"", ""reading"": ""しおちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""塩道"", ""reading"": ""えんどう"", ""meaning"": ""(non-word)""}]",1,Dining,salt,土,口 皿 土 ノ 一 人 𠂉,13,false
93,糖,"[{""idx"": 372}, {""idx"": 373}]","[{""word"": ""糖肉"", ""reading"": ""とうにく"", ""meaning"": ""(non-word)""}, {""word"": ""糖茶"", ""reading"": ""とうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""糖水"", ""reading"": ""とうすい"", ""meaning"": ""(non-word)""}]",1,Dining,sugar,米,口 米 广,16,false
94,車,"[{""idx"": 374}, {""idx"": 375}, {""idx"": 376}, {""idx"": 377}]","[{""word"": ""車肉"", ""reading"": ""しゃにく"", ""meaning"": ""(non-word)""}, {""word"": ""車茶"", ""reading"": ""しゃちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""車油"", ""reading"": ""しゃゆ"", ""meaning"": ""(non-word)""}]",1,Transport,car,車,車,7,false
95,電,"[{""idx"": 375}, {""idx"": 378}, {""idx"": 285}]","[{""word"": ""電肉"", ""reading"": ""でんにく"", ""meaning"": ""(non-word)""}, {""word"": ""電茶"", ""reading"": ""でんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""電米"", ""reading"": ""でんまい"", ""meaning"": ""(non-word)""}]",1,Transport,electricity,雨,雨 田 乙,13,false
96,学,"[{""idx"": 379}, {""idx"": 380}, {""idx"": 196}, {""idx"": 381}, {""idx"": 382}]","[{""word"": ""学肉"", ""reading"": ""がくにく"", ""meaning"": ""(non-word)""}, {""word"": ""学茶"", ""reading"": ""がくちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""学油"", ""reading"": ""がくゆ"", ""meaning"": ""(non-word)""}]",1,Learning,study; learning; science,子,子 ⺌ 冖,8,false
97,校,"[{""idx"": 379}, {""idx"": 295}, {""idx"": 323}, {""idx"": 383}]","[{""word"": ""校肉"", ""reading"": ""こうにく"", ""meaning"": ""(non-word)""}, {""word"": ""校茶"", ""reading"": ""こうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""校水"", ""reading"": ""こうすい"", ""meaning"": ""(non-word)""}]",1,City,exam; school; printing; proof; correction,木,父 木 亠,10,false
98,生,"[{""idx"": 384}, {""idx"": 380}, {""idx"": 385}, {""idx"": 386}, {""idx"": 899}, {""idx"": 900}, {""idx"": 912}, {""idx"": 920}]","[{""word"": ""生菜"", ""reading"": ""せいさい"", ""meaning"": ""(non-word)""}, {""word"": ""生麺"", ""reading"": ""せいめん"", ""meaning"": ""(non-word)""}, {""word"": ""生駅"", ""reading"": ""せいえき"", ""meaning"": ""(non-word)""}]",1,Humans & Family,life; genuine; birth,生,生,5,false
99,白,"[{""idx"": 387}, {""idx"": 388}, {""idx"": 389}, {""idx"": 390}, {""idx"": 351}, {""idx"": 908}]","[{""word"": ""白肉"", ""reading"": ""はくにく"", ""meaning"": ""(non-word)""}, {""word"": ""白茶"", ""reading"": ""しらちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""白油"", ""reading"": ""はくゆ"", ""meaning"": ""(non-word)""}]",1,Descriptives,white,白,白,5,false
100,手,"[{""idx"": 391}, {""idx"": 180}, {""idx"": 185}, {""idx"": 392}, {""idx"": 393}, {""idx"": 903}]","[{""word"": ""手肉"", ""reading"": ""しゅにく"", ""meaning"": ""(non-word)""}, {""word"": ""手茶"", ""reading"": ""しゅちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""手米"", ""reading"": ""てまい"", ""meaning"": ""(non-word)""}]",1,Humans & Family,hand,手,手,4,false
101,美,"[{""idx"": 394}, {""idx"": 395}, {""idx"": 396}, {""idx"": 397}, {""idx"": 907}]","[{""word"": ""美麺"", ""reading"": ""びめん"", ""meaning"": ""(non-word)""}, {""word"": ""美駅"", ""reading"": ""びえき"", ""meaning"": ""(non-word)""}, {""word"": ""美糖"", ""reading"": ""びとう"", ""meaning"": ""(non-word)""}]",2,Dining,beauty; beautiful,羊,王 大 丷 羊,9,false
102,牛,"[{""idx"": 398}, {""idx"": 332}, {""idx"": 399}, {""idx"": 400}]","[{""word"": ""牛茶"", ""reading"": ""ぎゅうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""牛駅"", ""reading"": ""ぎゅうえき"", ""meaning"": ""(non-word)""}, {""word"": ""牛糖"", ""reading"": ""ぎゅうとう"", ""meaning"": ""(non-word)""}]",2,Nature,cow,牛,牛,4,false
103,鳥,"[{""idx"": 401}, {""idx"": 402}, {""idx"": 403}, {""idx"": 404}]","[{""word"": ""鳥茶"", ""reading"": ""とりちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""鳥駅"", ""reading"": ""とりえき"", ""meaning"": ""(non-word)""}, {""word"": ""鳥糖"", ""reading"": ""とりとう"", ""meaning"": ""(non-word)""}]",2,Nature,bird; chicken,鳥,鳥 灬,11,false
104,味,"[{""idx"": 405}, {""idx"": 406}, {""idx"": 407}, {""idx"": 395}, {""idx"": 408}]","[{""word"": ""味駅"", ""reading"": ""みえき"", ""meaning"": ""(non-word)""}, {""word"": ""味麺"", ""reading"": ""みめん"", ""meaning"": ""(non-word)""}, {""word"": ""味糖"", ""reading"": ""みとう"", ""meaning"": ""(non-word)""}]",2,Dining,flavor; taste,口,｜ 口 二 ハ 木 亠,8,false
105,甘,"[{""idx"": 409}, {""idx"": 410}, {""idx"": 411}]","[{""word"": ""甘駅"", ""reading"": ""かんえき"", ""meaning"": ""(non-word)""}, {""word"": ""甘車"", ""reading"": ""かんしゃ"", ""meaning"": ""(non-word)""}, {""word"": ""甘麺"", ""reading"": ""かんめん"", ""meaning"": ""(non-word)""}]",2,Dining,sweet; coax; pamper; be content; sugary,甘,甘,5,false
106,焼,"[{""idx"": 412}, {""idx"": 413}, {""idx"": 334}, {""idx"": 346}]","[{""word"": ""焼駅"", ""reading"": ""やきえき"", ""meaning"": ""(non-word)""}, {""word"": ""焼糖"", ""reading"": ""しょうとう"", ""meaning"": ""(non-word)""}, {""word"": ""焼線"", ""reading"": ""しょうせん"", ""meaning"": ""(non-word)""}]",2,Dining,bake; burning,火,火 十 儿,12,false
107,豆,"[{""idx"": 414}, {""idx"": 415}]","[{""word"": ""豆駅"", ""reading"": ""まめえき"", ""meaning"": ""(non-word)""}, {""word"": ""豆車"", ""reading"": ""まめしゃ"", ""meaning"": ""(non-word)""}, {""word"": ""豆線"", ""reading"": ""とうせん"", ""meaning"": ""(non-word)""}]",2,Dining,beans; pea; midget,豆,口 豆 丷,7,false
108,鉄,"[{""idx"": 416}, {""idx"": 417}, {""idx"": 418}, {""idx"": 419}]","[{""word"": ""鉄茶"", ""reading"": ""てつちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""鉄糖"", ""reading"": ""てっとう"", ""meaning"": ""(non-word)""}, {""word"": ""鉄豆"", ""reading"": ""てつまめ"", ""meaning"": ""(non-word)""}]",2,Transport,iron,金,ノ 金 二 矢 大 𠂉,13,false
109,船,"[{""idx"": 420}, {""idx"": 421}, {""idx"": 422}]","[{""word"": ""船茶"", ""reading"": ""せんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""船糖"", ""reading"": ""せんとう"", ""meaning"": ""(non-word)""}, {""word"": ""船麺"", ""reading"": ""せんめん"", ""meaning"": ""(non-word)""}]",2,Transport,ship; boat,舟,口 舟 ハ,11,false
110,飛,"[{""idx"": 423}, {""idx"": 424}, {""idx"": 425}]","[{""word"": ""飛茶"", ""reading"": ""ひちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""飛糖"", ""reading"": ""ひとう"", ""meaning"": ""(non-word)""}, {""word"": ""飛豆"", ""reading"": ""ひまめ"", ""meaning"": ""(non-word)""}]",2,Transport,fly; skip (pages); scatter,飛,飛,9,false
111,機,"[{""idx"": 424}, {""idx"": 426}, {""idx"": 427}]","[{""word"": ""機茶"", ""reading"": ""きちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""機糖"", ""reading"": ""きとう"", ""meaning"": ""(non-word)""}, {""word"": ""機麺"", ""reading"": ""きめん"", ""meaning"": ""(non-word)""}]",2,Transport,loom; mechanism; machine; airplane; opportunity; potency; efficacy; occasion,木,ノ 木 丶 幺 戈,16,false
112,橋,"[{""idx"": 428}, {""idx"": 429}]","[{""word"": ""橋茶"", ""reading"": ""はしちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""橋糖"", ""reading"": ""きょうとう"", ""meaning"": ""(non-word)""}, {""word"": ""橋豆"", ""reading"": ""きょうまめ"", ""meaning"": ""(non-word)""}]",2,Transport,bridge,木,ノ 口 木 冂,16,false
113,切,"[{""idx"": 430}, {""idx"": 431}, {""idx"": 393}, {""idx"": 432}]","[{""word"": ""切茶"", ""reading"": ""せっちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""切糖"", ""reading"": ""せっとう"", ""meaning"": ""(non-word)""}, {""word"": ""切麺"", ""reading"": ""せつめん"", ""meaning"": ""(non-word)""}]",2,Actions,cut; cutoff; be sharp,刀,刀 匕,4,false
114,市,"[{""idx"": 433}, {""idx"": 434}, {""idx"": 435}, {""idx"": 909}]","[{""word"": ""市茶"", ""reading"": ""しちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""市糖"", ""reading"": ""しとう"", ""meaning"": ""(non-word)""}, {""word"": ""市麺"", ""reading"": ""しめん"", ""meaning"": ""(non-word)""}]",2,City,market; city; town,巾,巾 亠,5,false
115,公,"[{""idx"": 436}, {""idx"": 437}]","[{""word"": ""公茶"", ""reading"": ""こうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""公糖"", ""reading"": ""こうとう"", ""meaning"": ""(non-word)""}, {""word"": ""公麺"", ""reading"": ""こうめん"", ""meaning"": ""(non-word)""}]",2,City,public; prince; official; governmental,八,ハ 厶,4,false
116,園,"[{""idx"": 436}, {""idx"": 438}]","[{""word"": ""園茶"", ""reading"": ""えんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""園糖"", ""reading"": ""えんとう"", ""meaning"": ""(non-word)""}, {""word"": ""園豆"", ""reading"": ""えんまめ"", ""meaning"": ""(non-word)""}]",2,City,park; garden; yard; farm,囗,衣 口 土 囗,13,false
117,場,"[{""idx"": 439}, {""idx"": 440}, {""idx"": 434}]","[{""word"": ""場茶"", ""reading"": ""ばちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""場糖"", ""reading"": ""じょうとう"", ""meaning"": ""(non-word)""}, {""word"": ""場麺"", ""reading"": ""じょうめん"", ""meaning"": ""(non-word)""}]",2,City,location; place,土,土 日 一 勿,12,false
118,病,"[{""idx"": 441}, {""idx"": 442}, {""idx"": 443}]","[{""word"": ""病茶"", ""reading"": ""びょうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""病糖"", ""reading"": ""びょうとう"", ""meaning"": ""(non-word)""}, {""word"": ""病麺"", ""reading"": ""びょうめん"", ""meaning"": ""(non-word)""}]",2,City,ill; sick,疒,一 人 冂 疒,10,false
119,院,"[{""idx"": 442}, {""idx"": 444}]","[{""word"": ""院茶"", ""reading"": ""いんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""院糖"", ""reading"": ""いんとう"", ""meaning"": ""(non-word)""}, {""word"": ""院豆"", ""reading"": ""いんまめ"", ""meaning"": ""(non-word)""}]",2,City,Inst.; institution; temple; mansion; school,阜,二 儿 宀 阝 元,10,false
120,銀,"[{""idx"": 239}, {""idx"": 445}]","[{""word"": ""銀茶"", ""reading"": ""ぎんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""銀糖"", ""reading"": ""ぎんとう"", ""meaning"": ""(non-word)""}, {""word"": ""銀麺"", ""reading"": ""ぎんめん"", ""meaning"": ""(non-word)""}]",2,City,silver,金,金 艮,14,false
121,屋,"[{""idx"": 303}, {""idx"": 446}, {""idx"": 447}, {""idx"": 448}]","[{""word"": ""屋茶"", ""reading"": ""やちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""屋糖"", ""reading"": ""やとう"", ""meaning"": ""(non-word)""}, {""word"": ""屋豆"", ""reading"": ""やまめ"", ""meaning"": ""(non-word)""}]",2,Shopping,roof; house; shop; dealer; seller,尸,至 土 厶 尸,9,false
122,事,"[{""idx"": 449}, {""idx"": 450}, {""idx"": 451}, {""idx"": 452}, {""idx"": 251, ""batch"": 2}]","[{""word"": ""事肉"", ""reading"": ""じにく"", ""meaning"": ""(non-word)""}, {""word"": ""事茶"", ""reading"": ""じちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""事水"", ""reading"": ""じすい"", ""meaning"": ""(non-word)""}]",2,Function Words,matter; thing; fact; business; reason; possibly,亅,一 口 亅 ヨ,8,false
123,方,"[{""idx"": 453}, {""idx"": 454}, {""idx"": 455}, {""idx"": 456}]","[{""word"": ""方肉"", ""reading"": ""ほうにく"", ""meaning"": ""(non-word)""}, {""word"": ""方茶"", ""reading"": ""ほうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""方油"", ""reading"": ""ほうゆ"", ""meaning"": ""(non-word)""}]",2,Function Words,direction; person; alternative,方,方,4,false
124,所,"[{""idx"": 457}, {""idx"": 439}, {""idx"": 458}, {""idx"": 459}, {""idx"": 460}, {""idx"": 461, ""batch"": 2}]","[{""word"": ""所肉"", ""reading"": ""しょにく"", ""meaning"": ""(non-word)""}, {""word"": ""所茶"", ""reading"": ""しょちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""所水"", ""reading"": ""しょすい"", ""meaning"": ""(non-word)""}]",2,Function Words,place; extent,戶,斤 戸 一 尸,8,false
125,訳,"[{""idx"": 462}, {""idx"": 463}, {""idx"": 464}, {""idx"": 901}]","[{""word"": ""訳肉"", ""reading"": ""やくにく"", ""meaning"": ""(non-word)""}, {""word"": ""訳茶"", ""reading"": ""やくちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""訳水"", ""reading"": ""やくすい"", ""meaning"": ""(non-word)""}]",2,Function Words,translate; reason; circumstance; case,言,言 尸 丶,11,false
126,程,"[{""idx"": 465}, {""idx"": 466}, {""idx"": 467}]","[{""word"": ""程肉"", ""reading"": ""ていにく"", ""meaning"": ""(non-word)""}, {""word"": ""程茶"", ""reading"": ""ていちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""程油"", ""reading"": ""ていゆ"", ""meaning"": ""(non-word)""}]",2,Function Words,extent; degree; law; formula; distance; limits; amount,禾,王 禾 口,12,false
127,全,"[{""idx"": 468}, {""idx"": 469}, {""idx"": 313}, {""idx"": 470}, {""idx"": 471}, {""idx"": 904}]","[{""word"": ""全肉"", ""reading"": ""ぜんにく"", ""meaning"": ""(non-word)""}, {""word"": ""全茶"", ""reading"": ""ぜんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""全水"", ""reading"": ""ぜんすい"", ""meaning"": ""(non-word)""}]",2,Function Words,whole; entire; all; complete; fulfill,入,王 ハ 𠆢,6,false
128,皆,"[{""idx"": 472}, {""idx"": 473}]","[{""word"": ""皆肉"", ""reading"": ""みなにく"", ""meaning"": ""(non-word)""}, {""word"": ""皆茶"", ""reading"": ""みなちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""皆水"", ""reading"": ""みなみず"", ""meaning"": ""(non-word)""}]",2,Function Words,all; everything,白,白 比,9,false
129,他,"[{""idx"": 474}, {""idx"": 475}, {""idx"": 476}, {""idx"": 477}]","[{""word"": ""他肉"", ""reading"": ""たにく"", ""meaning"": ""(non-word)""}, {""word"": ""他茶"", ""reading"": ""たちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""他油"", ""reading"": ""たゆ"", ""meaning"": ""(non-word)""}]",2,Function Words,other; another; the others,人,亻 也,5,false
